Норматив,Время (мин),Время (час),,,,,,,,,,,,,,,,,,
Тариф,25,"0,42",,,,,,,,,,,,,,,,,,
ДУ,20,"0,33",,,,,,,,,,,,,,,,,,
Индекс,15,"0,25",,,,,,,,,,,,,,,,,,
Клининг,10,"0,17",,,,,,,,,,,,,,,,,,
ТР,15,"0,25",,,,,,,,,,,,,,,,,,
СД,10,"0,17",,,,,,,,,,,,,,,,,,
Снег,10,"0,17",,,,,,,,,,,,,,,,,,
ДОД,45,"0,75",,,,,,,,,,,,,,,,,,
Сплит,15,"0,25",,,,,,,,,,,,,,,,,,
ФКР,10,"0,17",,,,,,,,,,,,,,,,,,
Шлагбаум,15,"0,25",,,,,,,,,,,,,,,,,,
Иное,15,"0,25",,,,,,,,,,,,,,,,,,
Доп услуга,20,"0,33",,,,,,,,,,,,,,,,,,
 ,https://docs.google.com/spreadsheets/d/1_Tq01u1QlvxlTEZX46zClcsEpQTt5lGvrPmFPMSvJT8/edit#gid=1939309861,,,,,,,,,,,,,,,,,,,
Встречи с активами ,https://docs.google.com/spreadsheets/d/1_Tq01u1QlvxlTEZX46zClcsEpQTt5lGvrPmFPMSvJT8/edit#gid=568656723 ,,,,,,,,,,,,,,,,,,,
Скрыт архив ,,,,,,,,,,,,,,,,,,,,
Регион,ЖК,Улица,,№ дома,Дата очной части,,,,,,Дата перехода по протоколу,Отметка об исполнении принятого решения по ХВС,,,,,,,Отметка об исполнении принятого решения ВО,Отметка об исполнении принятого решения э/э
Киров,Метроград,Садаковская,,2а,12.04.2021,,,,,,с 01.05.2021,-,,,,,,,-,-
Киров,Точки,Ломоносова,,10а,19.05.2021,,,,,,,,,,,,,,дом пришел в управлении на прямых договорах,дом на прямых договорах
Киров,Васильки,Севастопольская,,12,25.05.2021,,,,,,-,,,,,,,,-,
Киров,Васильки,Севастопольская,,12,25.05.2021,,,,,,-,,,,,,,,-,
Киров,Точки,Советская,,49,31.05.2021,,,,,,с 01.07.2021,решение принято,,,,,,,решение принято,решение принято
Киров,Метроград,Садаковская,,2,01.06.2021,,,,,,-,,,,,,,,-,
Киров,Метроград,Садаковская,,2,01.06.2021,,,,,,-,-,,,,,,,-,-
Киров,Метроград,Садаковская,,6а,01.06.2021,,,,,,-,,,,,,,,-,
Киров,Метроград,Садаковская,,6а,01.06.2021,,,,,,-,,,,,,,,-,
